donor	receiver	compound	rate	mass_rate	community	medium
Bacteroides_thetaiotaomicron_VPI_5482	Faecalibacterium_prausnitzii_A2_165	M_lac_D__91__e__93__	0.010428602746150158	0.0009288735608790452	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_ura__91__e__93__	0.008207344160898165	0.0009199333020249281	all	LB_extend
environment	Eubacterium_rectale_ATCC_33656	M_glyc3p__91__e__93__	0.005110107849022891	0.0008690126765459952	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_26dap_M__91__e__93__	0.00454903060925529	0.000865209700273224	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Prevotella_copri_CB7_DSM_18205	M_anzp__91__e__93__	0.0033097723703380453	0.000831688537603944	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Bacteroides_ovatus_ATCC_8483	M_phe_L__91__e__93__	0.005013925675450889	0.0008282438642243543	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Eubacterium_rectale_ATCC_33656	M_acgam__91__e__93__	0.003499022546221338	0.0007740089801864928	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Eggerthella_lenta_DSM_2243	M_nh4__91__e__93__	0.042093627159192196	0.0007592974747856567	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Eggerthella_lenta_DSM_2243	M_orn__91__e__93__	0.00559745087925788	0.0007454035776693651	all	LB_extend
Bacteroides_ovatus_ATCC_8483	Bacteroides_thetaiotaomicron_VPI_5482	M_pac__91__e__93__	0.005367125182256965	0.0007253116869926515	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Prevotella_copri_CB7_DSM_18205	M_co2__91__e__93__	0.01624678645508049	0.0007150129484948648	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_cgly__91__e__93__	0.004009190574239754	0.0007144742439637497	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Blautia_hydrogenotrophica_DSM_10507	M_h__91__e__93__	0.6660090249383672	0.0006712704962353802	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Bacteroides_thetaiotaomicron_VPI_5482	M_ac__91__e__93__	0.011300425369251443	0.0006672211854595453	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Prevotella_copri_CB7_DSM_18205	M_h2o__91__e__93__	0.03370412933791551	0.0006071866308484155	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_cgly__91__e__93__	0.003242769601952751	0.0005778910522713579	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_val_L__91__e__93__	0.004143824943869143	0.00048543210249200024	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_ile_L__91__e__93__	0.0036417643370468687	0.0004776989683248467	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Collinsella_aerofaciens_ATCC_25986	M_h__91__e__93__	0.44491179921972535	0.0004484266024335612	all	LB_extend
